prefab	name	family	player_item	tier	biome	source	station	station_level	ingredients	drop_rate	boss_gated	limited	trader_price	rarity	complexity	value	class	how	anchor	confidence	wiki_page	exclude_reason	note
Stone	Stone	material	true	0	All	gather		0		na	false	false	0	1	1	1	common	anchor	1	high	Stone		Abundant gather anywhere; reference scale 1
Wood	Wood	material	true	0	All	gather		0		na	false	false	0	1	1	1	common	anchor	1	high	Wood		Abundant gather from trees/bushes/branches; reference scale 1
BoneFragments	Bone fragments	material	true	0	Meadows, Black Forest, Swamp	drop		0		common	false	false	0	1	1	2	common	raw		high	Bone fragments		Common drop from skeletons and undead
ChickenMeat	Chicken meat	material	true	0	Any	drop		0		common	false	false	0	1	1	2	common	raw		high	Chicken meat		Common meat drop from hens
Dandelion	Dandelion	material	true	0	Meadows	gather		0		na	false	false	0	1	1	2	common	raw		high	Dandelion		Common flower
FirCone	Fir Cone	material	true	0	Meadows	gather		0		na	false	false	0	1	1	2	common	raw		high	Fir Cone		Seed from felled Fir trees, plantable with Cultivator
FishRaw	Raw Fish	material	true	0	Meadows	fish		0		common	false	false	0	1	1	2	common	raw		high	Raw Fish		Caught with Fishing rod from any tier; generic fish
StoneRock	Mysterious Rock	material	true	0	All	gather		0		na	false	false	0	1	1	2	common	raw		high	Mysterious Rock		Placeable item/structure found as Rock pickables in Meadows/BF/Swamp/Mountains
Acorn	Acorns	material	true	0	Meadows, Black Forest, Plains	plant	Cultivator	0		na	false	false	0	2	1	2	common	raw		high	Acorns		Seed planted to grow oak trees, available in all biomes
BeechSeeds	Beech seeds	material	true	0	Meadows, Black Forest	plant	Cultivator	0		na	false	false	0	2	1	2	common	raw		high	Beech seeds		Low-tier tree seed
BirchSeeds	Birch seeds	material	true	0	Black Forest	plant	Cultivator	0		na	false	false	0	2	1	2	common	raw		high	Birch seeds		Low-tier tree seed
CarrotSeeds	Carrot seeds	material	true	0	Any	plant	Cultivator	0		na	false	false	0	2	1	2	common	raw		high	Carrot seeds		Early farming crop
ElderBark	Elder bark	material	true	0	Black Forest	gather		0		na	false	false	0	2	1	3	common	anchor	3	high	Elder bark		Black Forest wood material
Feathers	Feathers	material	true	0	Meadows	drop		0		common	false	false	0	2	1	3	common	anchor	3	high	Feathers		Dropped by Gulls, Crows, Hens, Chickens, Ash crows, Volturs; found in chests
LeatherScraps	Leather scraps	material	true	0	Meadows	drop		0		common	false	false	0	1	1	3	common	anchor	3	high	Leather Scraps		Reference scale: 3. Abundant from Boar, Bat, and Muddy scrap piles in early game.
BreadDough	Bread dough	material	true	0	Any	craft	Food preparation table	0	BarleyFlour x10	na	false	false	0	2	2	35	rare	cost		high	Bread dough		Cooking ingredient for bread
CandleWick	Candle wick	material	true	0	Any	craft	Workbench	0	Resin x1, Linen thread x1	na	false	false	0	2	2	13	common	cost		high	Candle wick		Crafted from resin and thread
CeramicPlate	Ceramic plate	material	true	0	Any	craft	Kiln	0	Clay x5	na	false	false	0	2	2	6	common	score		high	Ceramic plate		Kiln-crafted material
SharpeningStone	Sharpening stone	material	true	0	Meadows	craft	Stonecutter	1	Stone x5	na	false	false	0	2	2	6	common	cost		high	Sharpening Stone		Crafted from stone at stonecutter
Coal	Coal	material	true	1	Meadows	gather		0		na	false	false	0	1	1	1	common	anchor	1	high	Coal		Meadows ore, fundamental fuel
Flint	Flint	material	true	1	Meadows	gather		0		common	false	false	0	1	1	1	common	anchor	1	high	Flint		Found on shorelines of Meadows; respawns every 4 hours
Resin	Resin	material	true	1	Meadows	gather		0		na	false	false	0	1	1	1	common	anchor	1	high	Resin		Abundant gather from birch/elder trees
