prefab	display	type	stack	weight	value	teleportable	token
Abomination_attack1	Swing attack	OneHandedWeapon	1	1	0	true	Swing attack
Abomination_attack2	Slam attack	OneHandedWeapon	1	1	0	true	Slam attack
Abomination_attack3	Stub to the ground	OneHandedWeapon	1	1	0	true	Stub to the ground
Acorn	$item_oakseeds	Material	100	0.1	0	true	$item_oakseeds
Amber	$item_amber	Material	20	0.1	5	true	$item_amber
AmberPearl	$item_amberpearl	Material	50	0.1	10	true	$item_amberpearl
AncientSeed	$item_ancientseed	Misc	50	1	0	true	$item_ancientseed
ArmorAshlandsMediumChest	$item_chest_medium_ashlands	Chest	1	5	0	true	$item_chest_medium_ashlands
ArmorAshlandsMediumlegs	$item_legs_medium_ashlands	Legs	1	5	0	true	$item_legs_medium_ashlands
ArmorBerserkerChest	$item_chest_berserker	Chest	1	5	0	true	$item_chest_berserker
ArmorBerserkerLegs	$item_legs_berserker	Legs	1	5	0	true	$item_legs_berserker
ArmorBerserkerUndeadChest	$item_chest_berserker_undead	Chest	1	5	0	true	$item_chest_berserker_undead
ArmorBerserkerUndeadLegs	$item_legs_berserker_undead	Legs	1	5	0	true	$item_legs_berserker_undead
ArmorBronzeChest	$item_chest_bronze	Chest	1	10	0	true	$item_chest_bronze
ArmorBronzeLegs	$item_legs_bronze	Legs	1	10	0	true	$item_legs_bronze
ArmorCarapaceChest	$item_chest_carapace	Chest	1	10	0	true	$item_chest_carapace
ArmorCarapaceLegs	$item_legs_carapace	Legs	1	10	0	true	$item_legs_carapace
ArmorDress1	$item_chest_dress1	Chest	1	10	0	true	$item_chest_dress1
ArmorDress10	$item_chest_dress10	Chest	1	10	0	true	$item_chest_dress10
ArmorDress2	$item_chest_dress2	Chest	1	10	0	true	$item_chest_dress2
ArmorDress3	$item_chest_dress3	Chest	1	10	0	true	$item_chest_dress3
ArmorDress4	$item_chest_dress4	Chest	1	10	0	true	$item_chest_dress4
ArmorDress5	$item_chest_dress5	Chest	1	10	0	true	$item_chest_dress5
ArmorDress6	$item_chest_dress6	Chest	1	10	0	true	$item_chest_dress6
ArmorDress7	$item_chest_dress7	Chest	1	10	0	true	$item_chest_dress7
ArmorDress8	$item_chest_dress8	Chest	1	10	0	true	$item_chest_dress8
ArmorDress9	$item_chest_dress9	Chest	1	10	0	true	$item_chest_dress9
ArmorFenringChest	$item_chest_fenris	Chest	1	10	0	true	$item_chest_fenris
ArmorFenringLegs	$item_legs_fenris	Legs	1	10	0	true	$item_legs_fenris
ArmorFlametalChest	$item_chest_flametal	Chest	1	10	0	true	$item_chest_flametal
ArmorFlametalLegs	$item_legs_flametal	Legs	1	10	0	true	$item_legs_flametal
ArmorHarvester1	$item_chest_harvester1	Chest	1	10	0	true	$item_chest_harvester1
ArmorHarvester2	$item_chest_harvester2	Chest	1	10	0	true	$item_chest_harvester2
ArmorIronChest	$item_chest_iron	Chest	1	15	0	true	$item_chest_iron
ArmorIronLegs	$item_legs_iron	Legs	1	15	0	true	$item_legs_iron
ArmorLeatherChest	$item_chest_leather	Chest	1	5	0	true	$item_chest_leather
ArmorLeatherLegs	$item_legs_leather	Legs	1	5	0	true	$item_legs_leather
ArmorMageChest	$item_chest_mage	Chest	1	5	0	true	$item_chest_mage
ArmorMageChest_Ashlands	$item_chest_mage_ashlands	Chest	1	5	0	true	$item_chest_mage_ashlands
ArmorMageLegs	$item_legs_mage	Legs	1	5	0	true	$item_legs_mage
ArmorMageLegs_Ashlands	$item_legs_mage_ashlands	Legs	1	5	0	true	$item_legs_mage_ashlands
ArmorPaddedCuirass	$item_chest_pcuirass	Chest	1	10	0	true	$item_chest_pcuirass
ArmorPaddedGreaves	$item_legs_pgreaves	Legs	1	10	0	true	$item_legs_pgreaves
ArmorRagsChest	$item_chest_rags	Chest	1	2	0	true	$item_chest_rags
ArmorRagsLegs	$item_legs_rags	Legs	1	2	0	true	$item_legs_rags
ArmorRootChest	$item_chest_root	Chest	1	10	0	true	$item_chest_root
ArmorRootLegs	$item_legs_root	Legs	1	10	0	true	$item_legs_root
ArmorTrollLeatherChest	$item_chest_trollleather	Chest	1	5	0	true	$item_chest_trollleather
ArmorTrollLeatherLegs	$item_legs_trollleather	Legs	1	5	0	true	$item_legs_trollleather
ArmorTunic1	$item_chest_tunic1	Chest	1	10	0	true	$item_chest_tunic1
ArmorTunic10	$item_chest_tunic10	Chest	1	10	0	true	$item_chest_tunic10
ArmorTunic2	$item_chest_tunic2	Chest	1	10	0	true	$item_chest_tunic2
ArmorTunic3	$item_chest_tunic3	Chest	1	10	0	true	$item_chest_tunic3
ArmorTunic4	$item_chest_tunic4	Chest	1	10	0	true	$item_chest_tunic4
ArmorTunic5	$item_chest_tunic5	Chest	1	10	0	true	$item_chest_tunic5
ArmorTunic6	$item_chest_tunic6	Chest	1	10	0	true	$item_chest_tunic6
ArmorTunic7	$item_chest_tunic7	Chest	1	10	0	true	$item_chest_tunic7
ArmorTunic8	$item_chest_tunic8	Chest	1	10	0	true	$item_chest_tunic8
ArmorTunic9	$item_chest_tunic9	Chest	1	10	0	true	$item_chest_tunic9
ArmorWolfChest	$item_chest_wolf	Chest	1	15	0	true	$item_chest_wolf
ArmorWolfLegs	$item_legs_wolf	Legs	1	15	0	true	$item_legs_wolf
ArrowBronze	$item_arrow_bronze	Ammo	100	0.1	0	true	$item_arrow_bronze
ArrowCarapace	$item_arrow_carapace	Ammo	100	0.1	0	true	$item_arrow_carapace
ArrowCharred	$item_arrow_charred	Ammo	100	0.1	0	true	$item_arrow_charred
